Sr No,Company Name,Role,Link
121,Open AI,"Machine Learning Engineer, Applied AI",https://openai.com/careers/machine-learning-engineer-applied-ai/
122,Open AI,"Machine Learning Engineer, Retrieval & Search",https://openai.com/careers/machine-learning-engineer-retrieval-and-search/
123,Open AI,"Platform ML Engineering Manager, Inference",https://openai.com/careers/platform-ml-engineering-manager-inference/
124,Open AI,Research Engineer,https://openai.com/careers/research-engineer/
125,Open AI,"Research Engineer, Collective Alignment",https://openai.com/careers/research-engineer-collective-alignment/
126,Open AI,"Research Engineer, Superalignment",https://openai.com/careers/research-engineer-superalignment/
127,Open AI,"Research Engineer, Safety Reasoning",https://openai.com/careers/research-engineer-safety-reasoning/
128,Open AI,"Research Engineer, Trustworthy AI",https://openai.com/careers/research-engineer-trustworthy-ai/
129,Open AI,Research Scientist,https://openai.com/careers/research-scientist/
130,Open AI,"Research Scientist, Model Safety",https://openai.com/careers/research-scientist-model-safety/
131,Open AI,"Research Scientist, Multimodal (Post-training)",https://openai.com/careers/research-scientist-multimodal-(post-training)/
132,Open AI,"Senior Software Engineer, ChatGPT Model Optimization",https://openai.com/careers/senior-software-engineer-chatgpt-model-optimization/
133,Open AI,"Software Engineer, Machine Learning Compute",https://openai.com/careers/software-engineer-machine-learning-compute/
134,Open AI,"Software Engineer, Model Inference",https://openai.com/careers/software-engineer-model-inference/
135,Open AI,"Software Engineer, Observability",https://openai.com/careers/software-engineer-observability/
136,Open AI,"Software Engineer, Supercomputing, HPC Infrastructure",https://openai.com/careers/software-engineer-supercomputing-hpc-infrastructure/
137,Open AI,"Software Engineer, Supercomputing Scalability",https://openai.com/careers/software-engineer-supercomputing-scalability/
138,Google Deep Mind,Research Scientists at Google DeepMind,https://boards.greenhouse.io/deepmind/jobs/4828256
139,Google Deep Mind,"Research Scientist, Data Team",https://boards.greenhouse.io/deepmind/jobs/5962629
140,Google Deep Mind,"Research Engineer, Science, New York",https://boards.greenhouse.io/deepmind/jobs/5995973
141,Google Deep Mind,"Software Engineering Manager, ML Performance",https://boards.greenhouse.io/deepmind/jobs/5992997
142,Google Deep Mind,"Research Engineer, Responsible Engineering",https://boards.greenhouse.io/deepmind/jobs/5953162
143,Google Deep Mind,"Research Scientist, Generative Modeling",https://boards.greenhouse.io/deepmind/jobs/5962207
144,NVIDIA,Machine Learning Intern,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Hong-Kong-STP/Machine-Learning-Intern_JR1982641-1
145,NVIDIA,Machine Learning Intern,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Hong-Kong-STP/Machine-Learning-Intern_JR1982642
146,NVIDIA,Machine Learning Software Platform Architect,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/Machine-Learning-Software-Platform-Architect_JR1978458
147,NVIDIA,"Senior Solutions Architect, Machine Learning",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-NC-Durham/Senior-Solutions-Architect--Machine-Learning_JR1983383
148,NVIDIA,Senior Developer Relationship Manager � Physics Informed Machine Learning,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Developer-Relationship-Manager---Physics-Informed-Machine-Learning_JR1980563-1
149,NVIDIA,"Principal Machine Learning Engineer, Content Safety and ML Fairness",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Principal-Machine-Learning-Engineer--Content-Safety-and-ML-Fairness_JR1978571
150,NVIDIA,"Senior Distributed Systems Engineer, AI Infrastructure",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/Senior-Distributed-Systems-Engineer--AI-Infrastructure_JR1980973
151,NVIDIA,Senior Web Software Architect - AI Infrastructure,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/Senior-Web-Software-Architect---AI-Infrastructure_JR1969064
152,NVIDIA,"Solutions Architect, Generative AI Specialist",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Remote/Solutions-Architect--Generative-AI-Specialist_JR1983304-1
153,NVIDIA,AI Algorithms SW Engineer (RDSS Intern),https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Taiwan-Hsinchu/AI-Algorithms-SW-Engineer--RDSS-Intern-_JR1978556
154,NVIDIA,Deep Learning Solution Architect,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Beijing/Deep-Learning-Solution-Architect_JR1977251
155,NVIDIA,"Senior Applied Research Scientist, Generative AI",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Applied-Research-Scientist--Generative-AI_JR1968617-1
156,NVIDIA,"Software Engineer, cuDNN - Deep Learning",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/Software-Engineer--cuDNN---Deep-Learning_JR1977414
157,NVIDIA,Senior Deep Learning Architect,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Deep-Learning-Architect_JR1972270
158,NVIDIA,"Senior Research Scientist, Fundamental Generative AI",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Research-Scientist--Generative-AI_JR1966857
159,NVIDIA,Senior GPU Architect,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/India-Bengaluru/Senior-GPU-Architect_JR1976770-1
160,NVIDIA,Solution Architect - Generative AI,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Japan-Tokyo/AI-Solution-Architect_JR1975721
161,NVIDIA,Senior Computer Architect - Deep Learning,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Computer-Architect---Deep-Learning_JR1950486
162,NVIDIA,AI Computing Performance Architect Intern,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/AI-Computing-Performance-Architect-Intern_JR1981523
163,NVIDIA,"Senior Research Scientist, Multimodal Foundation Models and Robotics",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Research-Scientist--Multimodal-Foundation-Models-and-Robotics_JR1983391
164,NVIDIA,"Senior AI Developer Technology Engineer, Financial Sector",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-AI-Developer-Technology-Engineer--Financial-Sector-_JR1969539
165,NVIDIA,Deep Learning Performance Architect Intern,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/Deep-Learning-Performance-Architect-Intern_JR1981587
